Characteristic,UNIT,Instruction / Comments,Supplier Answers,COMMENT
Average consumption (nominal),(g/liter),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Maximum instant consumption,(g/liter),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Average consumption (nominal),(Nm3/h),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Maximum instant consumption,(Nm3/h),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Average consumption (nominal),(liter/h),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Maximum instant consumption,(liter/h),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Electrical capacity to be installed,(kVA),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Maximum consumption,(kW),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Average consumption,(kW),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Average consumption (nominal),(kg/h),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
Maximum instant consumption,(kg/h),Refer to the brewery restrictions on SGD - Site General Data / Inform,KHS: to be confirmed,Not enough information
